movie_name,movie_rating,movie_review,movie_label
Solaris Gate,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Ocean's Enigma,2,A complete waste of time. The plot made no sense.,bad
Quantum Leap,6,It's a solid 6/10. Good for a casual watch.,moderate
Forgotten Dynasty,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Quantum Leap,9,Fantastic cinematography and a deeply moving plot.,good
Echoes of Neptune,3,Terrible acting and a horrible script. I wanted to walk out.,bad
Quantum Leap,1,I was really disappointed. It did not live up to the hype at all.,bad
Project Gemini,7,An average film. The plot was predictable but the acting was fine.,moderate
Echoes of Neptune,10,The performances were outstanding. Truly breathtaking.,good
Cybernetic Dawn,8,Loved every minute of it. A must-watch film.,good
Midnight Runner,9,One of the best movies I've seen this year. Highly recommended!,good
Midnight Runner,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
The Last Alchemist,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Solaris Gate,6,It's a solid 6/10. Good for a casual watch.,moderate
Quantum Leap,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Echoes of Neptune,8,An absolute masterpiece! The acting and story were brilliant.,good
Cybernetic Dawn,4,An average film. The plot was predictable but the acting was fine.,moderate
Project Gemini,4,It's a solid 6/10. Good for a casual watch.,moderate
Quantum Leap,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Crimson Shadow,10,An absolute masterpiece! The acting and story were brilliant.,good
The Last Alchemist,9,One of the best movies I've seen this year. Highly recommended!,good
Ocean's Enigma,1,Avoid this movie. Easily one of the worst I've ever seen.,bad
Starlight Rebellion,1,I was really disappointed. It did not live up to the hype at all.,bad
The Crimson Shadow,9,Loved every minute of it. A must-watch film.,good
Solaris Gate,8,One of the best movies I've seen this year. Highly recommended!,good
Project Gemini,1,A complete waste of time. The plot made no sense.,bad
The Last Alchemist,10,One of the best movies I've seen this year. Highly recommended!,good
Ocean's Enigma,6,An average film. The plot was predictable but the acting was fine.,moderate
Solaris Gate,5,An average film. The plot was predictable but the acting was fine.,moderate
Project Gemini,9,One of the best movies I've seen this year. Highly recommended!,good
Project Gemini,2,A complete waste of time. The plot made no sense.,bad
Project Gemini,10,One of the best movies I've seen this year. Highly recommended!,good
The Last Alchemist,9,Fantastic cinematography and a deeply moving plot.,good
Solaris Gate,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Project Gemini,10,The performances were outstanding. Truly breathtaking.,good
The Last Alchemist,3,The story was incoherent and the characters were poorly written.,bad
Ocean's Enigma,6,It's a solid 6/10. Good for a casual watch.,moderate
Quantum Leap,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Starlight Rebellion,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Solaris Gate,2,A complete waste of time. The plot made no sense.,bad
The Crimson Shadow,8,The performances were outstanding. Truly breathtaking.,good
The Crimson Shadow,5,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Forgotten Dynasty,1,A complete waste of time. The plot made no sense.,bad
Project Gemini,8,The performances were outstanding. Truly breathtaking.,good
Midnight Runner,1,Terrible acting and a horrible script. I wanted to walk out.,bad
The Last Alchemist,6,An average film. The plot was predictable but the acting was fine.,moderate
